記号,希少性スコア,5件以下カテゴリ数,文字数,文長頑健zスコア,希少性上位1%,|文長z|≥3.5,確認候補
2023障175,24.472502550659225,0,139,2.3269931201942535,False,False,False
26障389,24.462825086662306,0,37,-1.112909753136382,False,False,False
30障357,24.459233615101965,1,110,1.3489815189531904,False,False,False
21障153,24.456473563743486,1,45,-0.8431134493457441,False,False,False
20障445,24.434102202340508,0,35,-1.1803588290840417,False,False,False
2022障242,24.429179857226572,0,111,1.3827060569270202,False,False,False
2019障39,24.426532050597196,0,61,-0.30352084176446786,False,False,False
21障456,24.37210415082007,0,110,1.3489815189531904,False,False,False
30障132,24.3593490686481,0,56,-0.47214353163361666,False,False,False
22障419,24.339292820612847,0,47,-0.7756643733980845,False,False,False
22障444,24.338102267505388,0,63,-0.23607176581680833,False,False,False
19障470,24.322471961615708,0,17,-1.7874005126129773,False,False,False
2022障251,24.318938320576642,0,67,-0.10117361392148928,False,False,False
2023障283,24.30246255231309,0,130,2.023472278429786,False,False,False
25障351,24.29674275605863,0,40,-1.011736139214893,False,False,False
19障463,24.277032052185117,0,59,-0.3709699177121274,False,False,False
2020障368,24.263104396909803,0,110,1.3489815189531904,False,False,False
2019障356,24.238046059755426,0,27,-1.4501551328746798,False,False,False
30障383,24.2373672466953,1,125,1.8548495885606369,False,False,False
29障393,24.23225912811857,0,51,-0.6407662215027655,False,False,False
28障381,24.215817899574066,0,64,-0.20234722784297857,False,False,False
25障368,24.213151027003843,0,60,-0.3372453797382976,False,False,False
25障2,24.2080747646865,0,51,-0.6407662215027655,False,False,False
27障36,24.180731658009755,0,41,-0.9780116012410631,False,False,False
22障460,24.178305282153946,0,84,0.47214353163361666,False,False,False
2023障308,24.17467317052195,0,111,1.3827060569270202,False,False,False
2022障29,24.173992992087488,0,75,0.1686226898691488,False,False,False
30障376,24.17023151376773,0,59,-0.3709699177121274,False,False,False
27障414,24.170195718538235,1,88,0.6070416835289357,False,False,False
2022障19,24.145624285968864,1,114,1.4838796708485096,False,False,False
25障359,24.140818896511288,0,76,0.20234722784297857,False,False,False
2023障22,24.104646575839958,0,109,1.3152569809793606,False,False,False
2022障232,24.103266937837617,0,95,0.8431134493457441,False,False,False
25障31,24.098327431668608,0,83,0.43841899365978687,False,False,False
2023障306,24.077529040125484,0,92,0.7419398354242548,False,False,False
25障361,24.04331862700779,0,107,1.2478079050317012,False,False,False
18障484,24.009767139354516,1,109,1.3152569809793606,False,False,False
23障376,23.99965838164815,0,69,-0.03372453797382976,False,False,False
2023障287,23.996326619156985,0,46,-0.8093889113719143,False,False,False
21障459,23.987840747597538,0,71,0.03372453797382976,False,False,False
23障350,23.982097483187445,0,49,-0.708215297450425,False,False,False
21障435,23.955288975439647,0,146,2.563064886011062,False,False,False
23障236,23.95033879676428,0,63,-0.23607176581680833,False,False,False
2023障301,23.948180979125944,0,78,0.26979630379063807,False,False,False
22障37,23.943348559340347,0,112,1.41643059490085,False,False,False
2021障318,23.943245179987855,0,97,0.9105625252934035,False,False,False
19障9,23.93965599131031,0,80,0.3372453797382976,False,False,False
26障390,23.93302199655176,0,49,-0.708215297450425,False,False,False
30障131,23.919990482091983,0,71,0.03372453797382976,False,False,False
20障444,23.918141542417683,0,43,-0.9105625252934035,False,False,False
2020障382,23.913438632986768,0,62,-0.26979630379063807,False,False,False
29障367,23.90403282983679,1,105,1.1803588290840417,False,False,False
22障421,23.89194886906084,0,66,-0.13489815189531904,False,False,False
